YEAR,DOY,T2M,RH2M,WS2M,T2MDEW,avg_precip
2024,92,29.52,65.49,2.32,20.95,0.251604757736026
2024,93,29.62,61.23,1.86,19.14,0.9622358271954562
2024,94,29.73,59.72,2.18,18.92,0.37945725497908406
2024,95,30.25,65.03,2.41,21.47,0.8232455654287775
2024,96,30.45,67.98,2.46,22.87,1.2241741532106023
2024,97,31.12,58.79,2.08,19.83,0.43645149007176337
2024,98,31.02,62.91,1.61,21.83,2.9811791848914533
2024,99,30.11,46.34,2.45,16.16,0.44917958170248823
2024,100,30.25,45.24,1.24,16.12,0.2176325221406419
2024,101,29.93,43.21,0.89,14.48,0.4741200757670393
2024,102,30.05,44.08,1.11,15.57,1.5399801447399926
2024,103,30.87,43.34,1.3,15.88,0.7130309911994229
2024,104,30.93,44.42,0.87,16.29,0.482104213508114
2024,105,31.97,42.89,0.69,16.72,0.8656508973234763
2024,106,32.23,45.01,1.17,17.63,1.467913777038947
2024,107,32.54,50.62,2.05,20.12,3.1229967126628195
2024,108,31.99,58.97,2.47,21.87,3.8576775276462314
2024,109,31.81,62.33,1.97,21.6,1.8471330288622432
2024,110,32.36,56.78,3.1,20.12,0.6958582640991706
2024,111,33.29,49.99,3.27,18.51,0.6427370901965381
2024,112,33.48,54.2,2.66,20.41,2.1163216405210963
2024,113,33.57,51.08,1.89,19.52,0.46287774135052295
2024,114,32.63,46.11,2.01,17.58,0.6008925394262532
2024,115,33.55,44.76,2.14,18.5,0.14705733602632529
2024,116,34.02,43.52,1.79,17.3,0.14474215369816085
2024,117,33.71,48.98,2.57,19.35,1.5085610819094843
2024,118,34.09,50.2,2.22,20.16,1.2141939979051568
2024,119,34.58,50.03,2.7,20.69,1.461126897373242
2024,120,34.77,46.63,2.37,19.12,0.3695942810151461
2024,121,35.43,44.63,2.91,19.07,0.8637522171925711
2024,122,35.03,47.25,2.25,18.95,1.8635322515629282
2024,123,34.12,50.05,2.13,20.62,3.8734239976260367
2024,124,33.08,45.46,1.06,15.92,2.006509158595745
2024,125,32.22,58.7,2.43,21.7,6.937165358474576
2024,126,32.24,62.46,3.58,23.15,17.761528655063106
2024,127,29.92,77.48,3.72,24.99,36.72565894277749
2024,128,28.68,69.99,1.55,21.99,8.505987952943382
2024,129,26.77,78.87,1.11,22.7,8.646031236253878
2024,130,28.26,69.28,0.86,21.78,6.600374907314461
2024,131,28.36,71.51,0.89,22.52,4.048710696875226
2024,132,27.81,81.45,1.6,24.17,8.364714895448252
2024,133,28.39,78.83,1.3,24.05,0.9943959401125136
2024,134,28.83,76.38,1.09,23.95,0.3675459729051569
2024,135,29.8,74.23,1.1,24.32,0.5841417109942301
2024,136,29.75,74.6,1.42,24.44,0.4934312933130184
2024,137,30.18,72.63,1.18,24.31,1.67772985881392
2024,138,30.51,70.21,2.03,24.0,5.851967052783989
2024,139,30.61,75.68,2.18,25.31,10.342717031570862
2024,140,30.68,74.97,2.02,25.19,13.00520345684277
2024,141,30.24,74.32,1.37,24.63,6.554013562323476
2024,142,30.56,71.64,0.73,24.46,2.685773468355932
2024,143,30.96,72.76,0.99,25.14,3.4288837949235482
2024,144,31.92,67.28,0.98,24.68,1.4727424862387306
2024,145,32.74,66.56,1.17,25.06,2.037371028602236
